Source / mod JAR,Namespace,Advancement ID,Native title,Native description / source meaning,Trigger surface,Frame,Parent,Completion significance,Proposed presenter,Proposed INCLUDE/EXCLUDE,Proposal rationale / exclusion reason,Presenter rationale,Reserved by V5 quest (fill after detectors are pinned),Overlord override,Overlord presenter override,Overlord notes
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:charm_collector,Charm Collector,Collect all types of Charms in your inventory,inventory_changed,challenge,born_in_chaos_v1:dark_creator,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:compact_necromancy,Compact Necromancy,Craft the Bonescaller Staff,impossible,goal,born_in_chaos_v1:junior_summoner,,Mortis,INCLUDE,goal-frame milestone (Q210),event theme (Q212),,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:cultural_attribute,Cultural Attribute,Get the Spirit Guide Sombrero,inventory_changed,goal,born_in_chaos_v1:guidetothenextworld,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:dark_blacksmith,Dark Blacksmith,Craft any dark metal weapon,impossible,goal,born_in_chaos_v1:dark_forging,,Giblet the Sixth,INCLUDE,goal-frame milestone (Q210),event theme (Q212),,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:dark_creator,Dark Creator,Kill the Missionary,impossible,goal,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,major hostile encounter (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:dark_forging,Dark Forging,Craft a Dark Metal Ingot,impossible,task,born_in_chaos_v1:dark_metallurgy,,Giblet the Sixth,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:dark_metallurgy,Dark Metallurgy,Get a piece of dark metal,inventory_changed,task,born_in_chaos_v1:bornin_chaos,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:disgusting_lootbox,Disgusting Lootbox,Rip open Glutton Fish Stomach,impossible,task,born_in_chaos_v1:horrorofthe_depths,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:dismantledto_bones,Senior Summoner,Kill the Supreme Bonescaller,impossible,goal,born_in_chaos_v1:junior_summoner,,Gnarl,INCLUDE,major hostile encounter (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:excessive_fly_swatter,Excessive Fly Swatter,Kill a Corpse Fly with a Dark Warblade while under the effects of a stage 5 rampage.,impossible,challenge,born_in_chaos_v1:my_size,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:exorcism,Exorcism,Kill a mob possessed by the spirit of chaos,impossible,goal,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:explosive_temper,Explosive Temper,Put on the Damned Demoman Hat,impossible,goal,born_in_chaos_v1:good_demoman,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:fighting_nightmares,Fighting Nightmares,Kill the Nightmare Stalker,impossible,goal,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,major hostile encounter (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:food_fight,Food Fight,Hit someone with monster flesh,impossible,task,born_in_chaos_v1:bornin_chaos,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:freshen_your_breath,Freshen Your Breath,Remove Rotten Stink by eating Mint Candy,impossible,task,born_in_chaos_v1:bornin_chaos,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:good_demoman,Good Demoman,Kill the Skeleton Demoman,impossible,task,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,major hostile encounter (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:grave_ravager,Grave Ravager,Break down the gravestone of the immortalized person,impossible,task,born_in_chaos_v1:bornin_chaos,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:guidetothenextworld,The day of the Dead,Kill the Spirit Guide,impossible,task,born_in_chaos_v1:bornin_chaos,,Mortis,INCLUDE,major hostile encounter (Q210),event theme (Q212),,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:hat_for_dark_deeds,Hat for dark affairs,Get the Missionary Hat,inventory_changed,goal,born_in_chaos_v1:dark_creator,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:hatman,Hatman,Collect all hats from Born in Chaos,inventory_changed,challenge,born_in_chaos_v1:infernal_hatman,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:heart_thief,Heart Thief,Get Elixir of Vampirism,inventory_changed,task,born_in_chaos_v1:horror_underthe_mantle,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:horror_underthe_mantle,Horror Under the Mantle,Kill Lifestealer,impossible,goal,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:horrorofthe_depths,Horror of the Depths,Kill Glutton Fish,impossible,goal,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:infernal_hatman,Infernal Musketeer,Get Lord Pumpkinhead Hat,inventory_changed,goal,born_in_chaos_v1:pumpkin_lord,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:infernal_medicine,Infernal Medicine,Transform Seared Spirit into Infernal Spirit using Transmuting Elixir,impossible,goal,born_in_chaos_v1:transmutalogy,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:insect_repellent,Insect Repellent,Get Elixir of Insect Protection,inventory_changed,task,born_in_chaos_v1:bornin_chaos,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:junior_summoner,Junior Summoner,Kill the Bonecaller,impossible,task,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,major hostile encounter (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:lifeturnedouttobeacomedy,Life turned out to be a comedy,Kill the zombie clown,impossible,task,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,major hostile encounter (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:mr_decoction,Mr. Decoction,Create an Intoxication or Stimulation Bomb,impossible,task,born_in_chaos_v1:lifeturnedouttobeacomedy,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:my_size,My Size!,Craft a Dark Warblade,impossible,goal,born_in_chaos_v1:dark_blacksmith,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:one_explosion_is_good_two_is_better,Double Bang,Craft a Phantom Bomb,impossible,task,born_in_chaos_v1:double_trouble,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:protectedby_darkness,Protected by Darkness,Craft Dark Atrium,impossible,goal,born_in_chaos_v1:horror_underthe_mantle,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:pumpkin_lord,Last Night,Kill Lord Pumpkinhead,impossible,challenge,born_in_chaos_v1:transmutalogy,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:pumpkin_sir,Pumpkin Sir,Kill Sir Pumpkinhead,impossible,goal,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:rampage,RAMPAGE!,Get a five-kill streak with the Great Reaper Ax in a short period of time,impossible,goal,born_in_chaos_v1:dark_blacksmith,,Mortis,INCLUDE,goal-frame milestone (Q210),event theme (Q212),,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:scarecrow,Scarecrow,Create your own Pumpkin Spirit,impossible,task,born_in_chaos_v1:bornin_chaos,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:shakeand_mix,Shake and Mix,Be under the effects of Intoxication and Stimulation at the same time,impossible,goal,born_in_chaos_v1:lifeturnedouttobeacomedy,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:shell_warrior,Shell Warrior,Equip a full set of Spiny Shell Armor,impossible,goal,born_in_chaos_v1:waste_recycler,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:soul_eater,Soul Eater,Collect 64 Ethereal Spirits into your inventory,inventory_changed,challenge,born_in_chaos_v1:bornin_chaos,,Mortis,INCLUDE,challenge-frame milestone (Q210),event theme (Q212),,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:spider_warlord,Spider Warlord,Craft Spider Bite,impossible,goal,born_in_chaos_v1:arachnophobes_nightmare,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:spruce_cowboyinthe_moonlight,Spruce Cowboy In The Moonlight,"Standing on a spruce log and while mounted, wearing Damned Demoman's Hat under the moon, kill any monster.",impossible,challenge,born_in_chaos_v1:explosive_temper,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:squireofthe_dark_lord,Squire of the Dark Lord,Have all types of dark metal weapons in your inventory,inventory_changed,challenge,born_in_chaos_v1:my_size,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:sweet_battle,Sweet Battle,Craft a Sweet Axe or Sword,impossible,task,born_in_chaos_v1:pumpkin_sir,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:symphonyof_chaos,Symphony of Chaos,Get all the Born in Chaos music discs,inventory_changed,challenge,born_in_chaos_v1:pumpkin_sir,YES,Quaver,INCLUDE,completion significance (Q210),event theme (Q212),,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:the_wind_darkening,The Wind Darkening,Kill the dark vortex,impossible,task,born_in_chaos_v1:bornin_chaos,,Gnarl,INCLUDE,major hostile encounter (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:transmutalogy,Transmutalogy,Create Transmuting Elixir,impossible,goal,born_in_chaos_v1:pumpkin_sir,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:trickor_treat,Trick or Treat,Collect all kinds of sweets from Born in Chaos,inventory_changed,challenge,born_in_chaos_v1:yoursatietywillbe_eternal,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:unitywith_darknessachievement,Unity with Darkness,Equip a full set of Nightmare Armor,impossible,challenge,born_in_chaos_v1:fighting_nightmares,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:waste_recycler,Waste Recycler,Feed the Thornshell Crab rotten flesh or rotten fish,impossible,task,born_in_chaos_v1:bornin_chaos,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:wrong_santa,Wrong Santa,Kill the Krampus,impossible,goal,born_in_chaos_v1:naughty_child,,Gnarl,INCLUDE,major hostile encounter (Q210),"default, no specialist theme",,,,
born_in_chaos_[Forge]1.20.1_1.7.5.jar,born_in_chaos_v1,born_in_chaos_v1:yoursatietywillbe_eternal,Your satiety will be Eternal!,Craft Eternal Candy,impossible,goal,born_in_chaos_v1:transmutalogy,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:athame,The Finest Dagger,Craft an Athame to harvest Rare Plants and Ender Pearls,inventory_changed,task,eidolon:worktable,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:brazier,Rituals,Craft a Brazier,inventory_changed,task,eidolon:pewter_ingot,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:crucible,Alchemical Soup,Craft a Crucible,inventory_changed,task,eidolon:pewter_ingot,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:cure_zombie,Curse Lifted,Cure a Zombie Villager with the Chant,eidolon:cure_zombie,task,eidolon:lay_on_hands,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:enthrall_undead,A New Servant,Enthrall an Undead with the Chant,eidolon:enthrall_undead,task,eidolon:zombify,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:flame_spell,Chant of Flames,Learn the Chant of Flames researching a Blaze,eidolon:flame_spell,task,eidolon:research_notes,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:frost_spell,Call of Winter,Learn the Call of Winter researching a Wraith or a Stray,eidolon:frost_spell,task,eidolon:research_notes,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:holy_symbol,Blessed with Light,Transfigure a Gold Inlay into the Holy Symbol,inventory_changed,task,eidolon:incense,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:incense,A Humble Offering,Craft a Censer and burn an Offering Incense on an Altar,eidolon:incense,task,eidolon:sacred_path,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:lay_on_hands,Healing Touch,Use your Holy Powers to heal another.,eidolon:lay_on_hands,task,eidolon:holy_symbol,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:pewter_ingot,The Alloy Inert to Magic,Craft a Pewter Ingot,inventory_changed,task,eidolon:root,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:reaper_scythe,Reaping Time,Craft a Reaper Scythe to harvest Soul Shards from Undead Creatures,inventory_changed,task,eidolon:worktable,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:research_notes,Research the World,Craft Note-Taking tools and use them on specific mobs to start a research,inventory_changed,task,eidolon:crucible,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:root,Your Guide to the Supernatural,Craft the Ars Ecclesia,inventory_changed,task,,,Gnarl,INCLUDE,domain entry milestone (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:sacred_path,The Sacred Path,Ask a Priest to teach you the Sacred Sign,eidolon:sacred_path,task,eidolon:straw_effigy,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:sacrifice,Blood for the Dark One,Fill a Goblet with Blood on an Altar and perform the Chant,eidolon:sacrifice,task,eidolon:wicked_path,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:smite_undead,The light's Fury,Smite an Undead with the Chant,eidolon:smite_undead,task,eidolon:cure_zombie,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:soul_shard,Crystallized Souls,Use a Crystallization Ritual to obtain Soul Shards,inventory_changed,task,eidolon:brazier,,Mortis,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:stone_altar,A more Powerful altar,Craft a Stone Altar,inventory_changed,task,eidolon:wooden_altar,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:straw_effigy,A Raw Effigy to Pray at,Craft a Straw Effigy and put it on an Altar,inventory_changed,task,eidolon:root,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:unholy_symbol,Marked with Darkness,Transfigure a Pewter Inlay into the Unholy Symbol,inventory_changed,task,eidolon:sacrifice,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:villager_sacrifice,A Greater Sacrifice,Sacrifice a Villager on the Altar,eidolon:villager_sacrifice,task,eidolon:unholy_symbol,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:wicked_path,The Wicked Path,Ask a Witch to teach you the Wicked Sign,eidolon:wicked_path,task,eidolon:straw_effigy,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:wooden_altar,Your First Altar,Craft a Wooden Altar,inventory_changed,task,eidolon:straw_effigy,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:wooden_brewing_stand,Blazefree Potions,Craft an Apothecary Stand to brew Potions without Blaze Powder,inventory_changed,task,eidolon:crucible,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:worktable,A Magical Workbench,Craft a Worktable,inventory_changed,task,eidolon:pewter_ingot,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
eidolon_repraised-1.20.1-0.3.13.jar,eidolon,eidolon:zombify,A New Recruit for the Dark,Zombify a Villager with the Chant,eidolon:zombify,task,eidolon:villager_sacrifice,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:alchemist_pot,Brimming with Mana,Craft an Alchemist Pot to satisfy your magical cooking recipes,inventory_changed,task,farmers_spell:root,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:amethyst_beetroot,A Hint of Grape,"Obtain an Amethyst Beetroot, a beautiful and firm ingredient",inventory_changed,task,farmers_spell:alchemist_pot,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:amethyst_sugar,Crystal Clear Baking Syrup,"Obtain Amethyst Sugar, add it to baking to become immune to many harmful effects",inventory_changed,task,farmers_spell:amethyst_beetroot,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:arcane_cocoa,Condensed Cream,Drink an Arcane Hot Cocoa,consume_item,task,farmers_spell:alchemist_pot,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:blaze_scroll,Pyromancer Career Path,"Place a Blaze Scroll in the scroll slot, making your Alchemist Pot need no heat source",farmers_spell:blaze_scroll,task,farmers_spell:alchemist_pot,,Gristle,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:blood_tofu,Coagulated Blood...,What is this... Blood Tofu,inventory_changed,task,farmers_spell:catacombs_wine,,Gristle,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:butter,Invisible Wings,Witness a flying phantom fall into water or crash to the ground and turn into butter,inventory_changed,task,farmers_spell:alchemist_pot,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:butter_hit,Not a Corn Thrower,Throw your butter at something...,farmers_spell:butter_hit,task,farmers_spell:butter,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:catacombs_wine,Vintage Bloodline,Obtain Catacombs Wine,inventory_changed,task,farmers_spell:alchemist_pot,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:chef_ratatouille,Chef Ratatouille,"Obtain the Foodgeist's secret seasoning, a delicious powder imbued with Gluttony magic",inventory_changed,task,farmers_spell:alchemist_pot,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:drink_butterbeer,Hogsmeade Buzz,"Enjoy your weekend as a wizard, the divine power will favor you",consume_item,task,farmers_spell:butter,,Gristle,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:energized_caramel,Thunder,Obtain Energized Caramel,inventory_changed,task,farmers_spell:alchemist_pot,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:food_shaman,Food Shaman,"Satisfy ten Foodgeists, receive a dessert treasured by Foodgeists",farmers_spell:foodgeist_satisfied,task,farmers_spell:chef_ratatouille,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:icebreaker_bread,Titantic Bread,"Obtain Icebreaker Bread, a cold feast",inventory_changed,challenge,farmers_spell:icy_egg,,Gristle,INCLUDE,challenge-frame milestone (Q210),event theme (Q212),,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:icy_egg,Egg? Ovum? Fruit?,"Obtain an Icy Egg, like a spider egg, like an egg, like a fruit, eating it will give you a hard frost layer, strange",inventory_changed,task,farmers_spell:alchemist_pot,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:ink_beer,The Taste of Magic Truth?,Perhaps it needs to be paired with rice dumplings...,consume_item,task,farmers_spell:arcane_cocoa,,Gristle,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:paofu,Matthew's Trap,"Obtain Lightning Puff, it really improves your physical abilities",inventory_changed,task,farmers_spell:energized_caramel,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:phantom_loot,"Wait, That's Important...",This is the power of HYPER! Provided the opponent is weak enough,farmers_spell:phantom_loot,goal,farmers_spell:root,,Gristle,INCLUDE,goal-frame milestone (Q210),source domain (Q212 fallback / Q214),,,,
farmers_spell-1.0.5-1.20.1-all.jar,farmers_spell,farmers_spell:root,Magical Cuisine,"Four arcane disciplines, yet a single pot of gluttonous feast",inventory_changed,task,,,Gristle,INCLUDE,domain entry milestone (Q210),event theme (Q212),,,,
forge-dungeonsdelight-1.20.1-1.3.0.jar,dungeonsdelight,dungeonsdelight:main/all_knife_mob_drops,Gastrocryptozoologist,Obtain all monster knife drops,inventory_changed,goal,dungeonsdelight:main/get_slime_noodles,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
